@@,name,position
->,Mambury Njie,Minister of Finance->Minister of Finance and Economic Affairs
->,Mamadou Tangara,"Minister of Foreign Affairs->Minister of Foreign Affairs, International Cooperation and Gambians Abroad"
---,Yankuba Sonko,Minister of the Interior
---,Ousainou Darboe,Minister of Women's Affairs
---,Isatou Touray,Vice President of the Gambia
+++,Yankuba J.N Sonko,Minister of Interior
+++,Sheikh Omar Faye,Minister of Defence
+++,Seedy Keita,"Minister of Trade, Industry, Regional Integration and Employment"
+++,Musa Drammeh,"Minister of Lands, Regional Government and Religious Affairs"
+++,Lamin Dibba,"Minister of Environment, Climate Change and Natural Resources"
+++,James Gomez,Minister of Fisheries and Water Resources
+++,Hamat NK Bah,Minister of Tourism and Culture
+++,Fatou Kinteh,"Minister of Gender, Children and Social Welfare"
+++,Fafa Sanyang,Minister of Petroleum and Energy
+++,Ebrima Siilah,Minister of Information & Communication Infrastructure
+++,Dr. Isatou Touray,Vice President of the Republic of The Gambia
+++,Dr. Ahmadou Lamin Samateh,Minister of Health
+++,Claudiana A. Cole,Minister of Basic and Secondary Education
+++,Bakary Y. Badjie,Minister of Youth and Sports
+++,Bai Lamin Jobe,Minister of Transport Works & Infrastructure
+++,Badara Joof,"Minister of Higher Education, Research, Science and Technology"
+++,Amie Fabureh,Minister of Agriculture
