id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q15921518,President of the Gambia,Q1005,Q1005,Q1533524,,1970-04-24,,,,President of the Gambia
Q1533524,Vice President of the Gambia,Q1005,Q1005,,,1970-04,,,,Vice-President of the Gambia
Q109780417,Minister of Agriculture,Q1005,Q1005,,,,,,,
Q109780400,Minister of Basic and Secondary Education,Q1005,Q1005,,,,,,,
Q109780312,Minister of Defence,Q1005,Q1005,,,,,,,
Q109780558,"Minister of Environment, Climate Change and Natural Resources",Q1005,Q1005,,,,,,,
Q109780567,Minister of Fisheries and Water Resources,Q1005,Q1005,,,,,,,
Q16149634,Minister of Finance,Q1005,Q1005,,,,,,,Minister of Finance and Economic Affairs (Gambia)
Q1407477,Minister of Foreign Affairs,,Q1005,,,1965-02-18,,,,Minister of Foreign Affairs (The Gambia)
Q109780578,"Minister of Gender, Children and Social Welfare",Q1005,Q1005,,,,,,,
Q109780346,Minister of Health,Q1005,Q1005,,,,,,,
Q109780389,"Minister of Higher Education, Research, Science and Technology",Q1005,Q1005,,,,,,,
Q109780586,Minister of Information & Communication Infrastructure,Q1005,Q1005,,,,,,,
Q30600272,Minister of the Interior,Q1005,,,,,,,,Minister of the Interior (The Gambia)
Q48807935,Minister of Justice,Q1005,,,,1968,,,,Minister of Justice (The Gambia)
Q109780595,"Minister of Lands, Regional Government and Religious Affairs",Q1005,Q1005,,,,,,,
Q30612294,Minister of Energy and Petroleum,Q1005,Q1005,,,,,,,Minister of Energy and Petroleum (The Gambia)
Q30601642,Minister of Tourism and Culture,,,,,,,,,Minister of Tourism and Culture (The Gambia)
Q109780357,"Minister of Trade, Industry, Regional Integration and Employment",Q1005,Q1005,,,,,,,
Q109780615,"Minister of Transport, Works and Infrastructure",Q1005,Q1005,,,,,,,
Q30612255,Minister of Women's Affairs,Q1005,,,,1996-07,,,,Minister of Women's Affairs (The Gambia)
Q109780627,Minister of Youth and Sports,Q1005,Q1005,,,,,,,
Q28870880,Attorney General of the Gambia,,,,,1902,,,,Attorney General of the Gambia
Q1849876,Speaker of the National Assembly of the Gambia,,,,,,,,,List of speakers of the National Assembly of the Gambia
Q25054406,Chief Justice of the Gambia,,,,,,,,,Chief Justice of the Gambia
Q30601036,Chief of the Defence Staff,,,,,1997,,,,Chief of the Defence Staff (The Gambia)
