wanted,position,positionid,from,start,end
Q28868882,Minister of Health,Q109780346,Q27541581,2018-07-09,2019-03-27
Q308425,Speaker of the National Assembly,Q1849876,Q29580200,2017-04-11,2022-04-17
Q28600165,Chief of Defence Staff,Q30601036,Q28530077,2017-02-27,2020-03-05
Q1398231,Minister of Basic and Secondary Education,Q109780400,Q28836800,2017-02-22,
Q23772063,Attorney General,Q28870880,Q28732952,2017-02-07,2020-06-30
Q13429027,Chief Justice,Q25054406,Q47005367,2015-05-13,2017-01-20
Q106994831,Minister of Justice,Q48807935,Q23772063,2015-01-12,2017-01-17
Q6485629,Chief of Defence Staff,Q30601036,Q28530077,2009-10-09,2012-07-06
Q28600165,Minister of the Interior,Q30600272,Q28941269,2003-09-29,2004-05-04
